year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1882,88.1,84.4,94.2,103,58.4,109.2,126.5,85.9,92,130.8,145.9,129.4,285.8,255.6,321.6,368.6,1247.8
1883,120.4,120.1,53.6,49.1,57.5,79.2,98.3,84.8,125.9,114.8,133.3,87.1,369.9,160.3,262.3,374,1124.2
1884,142.9,96.2,84.7,44.1,63.1,41,106.1,63,77.4,86.9,89,125.6,326.2,191.9,210.1,253.2,1019.9
1885,79.5,117.8,63.5,65.3,81.4,56.9,38.9,64.1,146,135.5,93.5,72.5,322.9,210.2,159.9,375,1014.7
1886,125.8,42.1,85.8,61.8,112.8,40.6,99.6,59.2,93.2,127.2,108.2,139.9,240.4,260.3,199.4,328.6,1096.2
1887,91.4,53.7,51.1,50.4,49.1,25.5,63.4,68.2,98.3,74.9,93.9,87.4,285,150.6,157.1,267.1,807.3
1888,62.1,42.8,95.2,60.1,57.6,74.2,142.2,90.6,40.7,73.7,164.8,89.9,192.3,212.8,307.1,279.3,993.9
1889,63.1,80.4,78.2,83.4,77.4,24.6,75.6,125.6,61.3,116.3,58.9,86.9,233.4,239,225.7,236.5,931.7
1890,145.8,30,83.4,46.9,60.4,89.5,97,106.2,69,95.3,149.9,37.8,262.7,190.8,292.7,314.2,1011.3
1891,79.3,24.2,71.9,45.6,78.1,53.2,87.4,155.9,100.7,156.6,101.8,153.4,141.4,195.6,296.5,359.1,1108.1
1892,83.1,63.7,33.4,37.7,82.9,84.2,71.7,123,110.6,138,88.4,61.3,300.2,154,278.9,337,978
1893,68,117.4,34.6,23.1,49.6,44.8,96.4,86.6,84.8,116.4,90.5,127.6,246.8,107.3,227.8,291.7,939.8
1894,117.9,140.8,75.5,50.8,77.9,71.4,103.3,105.6,32.3,108,118.6,99.4,386.3,204.2,280.2,258.9,1101.4
1895,91.8,17.8,91.6,63.9,21.8,48.4,119.2,115,40.7,117.2,127.1,105.9,209,177.2,282.6,285.1,960.3
1896,58.9,43.4,117.4,47.7,18.8,81.5,81,75.6,150.1,123.1,46.5,141.7,208.2,184,238.2,319.8,986
1897,55.5,86.7,129.3,69.3,51.1,91.2,51.9,121.3,100.4,58.7,82.5,138.1,283.9,249.6,264.4,241.6,1035.9
1898,68.5,89,55,79.6,86.3,64.5,34.7,104.5,67.5,118.8,110.1,142.9,295.6,220.9,203.8,296.5,1021.5
1899,131,76,63.7,99,78,47.8,67.4,41.2,116.3,90.1,110,96.4,349.9,240.7,156.3,316.4,1016.9
1900,130.9,113.7,33.8,62.8,64.6,85.3,72.1,120.2,64.5,125.2,111.9,163.1,341,161.2,277.6,301.6,1148.2
1901,71.2,52.2,77.9,77.3,39.6,69.1,61.3,89.7,65.8,96,85.1,139.8,286.5,194.8,220.1,246.9,925.1
1902,69.7,44.4,73.5,55.1,79,65.4,70.4,87.1,64.7,84.9,83.3,104.1,253.9,207.6,222.9,232.9,881.7
1903,131.4,108.3,147.4,59.6,78.5,66.9,113.5,146.1,101.8,219.8,88.1,82,343.9,285.5,326.5,409.7,1343.5
1904,108.4,109.6,59.4,85.2,75.9,46.3,71.5,105.9,73.2,58.8,73.7,95.9,300,220.5,223.7,205.7,963.8
1905,62.2,65,117.4,76.2,38.1,65.8,52.6,118.7,72.3,83.8,123,57.7,223.1,231.7,237.1,279.1,932.7
1906,142.6,87.9,73.1,44.6,101.7,51,55,94.4,42.7,153.4,121.8,98.7,288.1,219.5,200.5,318,1067.1
1907,61.9,70.9,71.9,78.1,94.1,111.8,67.8,101.8,29.3,146.5,88.5,120,231.5,244.1,281.4,264.3,1042.7
1908,82.5,78.4,113.3,69.9,65.5,53.2,85,96.9,108.8,52.7,76.4,95.9,280.9,248.7,235.1,237.9,978.4
1909,79.5,44.3,97.8,80.3,56.6,72.7,101.9,78.5,72,160.3,57.3,135.3,219.6,234.7,253.1,289.7,1036.5
1910,109.1,122.6,49.7,93.4,70,68.4,95.4,138.7,26.9,87.2,127,140,367,213.1,302.5,241,1128.3
1911,58.5,98.1,61.8,68.9,51.8,77.7,43.7,68.8,68.4,90.7,139.4,183.5,296.6,182.4,190.2,298.6,1011.3
1912,108.9,78.1,126.5,34.8,57.7,123.5,90.8,166.8,56.5,113.7,103.3,157.4,370.6,219,381.1,273.5,1218
1913,121.6,56.7,128.3,102.1,81,63.4,32.7,43.9,72.2,101,123.9,84.7,335.7,311.4,140.1,297.1,1011.6
1914,76.7,113.5,122.7,52.9,59,52.1,91.8,80.4,57,62.1,136.1,196.9,274.9,234.5,224.2,255.2,1101.1
1915,115.2,138.7,53.8,63.6,51.8,35.6,122.7,80.2,53.7,73.2,81.2,179.9,450.7,169.2,238.5,208.2,1049.6
1916,107.8,134.3,86,69.4,91.2,72.2,71.3,89.9,55.3,168.2,129,105,422,246.6,233.4,352.5,1179.6
1917,71.9,33.9,70.9,62,67.3,71,59.5,166.6,75.1,164.3,118.6,60.3,210.7,200.2,297.2,358,1021.4
1918,101.6,103.4,41.9,49.3,62.9,43,119.7,83.7,178,105.1,94.3,130.2,265.3,154,246.3,377.5,1113
1919,117.1,58.6,113.7,80.7,29.2,64.6,49.6,90.3,81.5,69.7,98.9,161.3,305.9,223.6,204.5,250,1015.1
1920,137.5,93.7,106.6,106.7,94.5,57.5,123.5,70.5,76.5,74.8,81.5,104.2,392.5,307.8,251.4,232.8,1127.5
1921,148,24,102.1,38,62.7,18.4,58.2,107.8,52.9,81.2,71,126.7,276.2,202.9,184.5,205.2,891.2
1922,119.8,110.3,70.9,85.4,62,51.8,116.6,98.3,79.4,46.5,65.5,125.7,356.8,218.4,266.6,191.4,1032.2
1923,102.7,151.7,50.3,77.5,78.3,36.1,88.4,127.9,110.8,156.6,109.9,113.5,380.1,206.1,252.3,377.2,1203.6
1924,102.3,39.6,36.1,75.7,119.8,71.5,120.9,113.3,132.1,118.7,81.6,151.8,255.5,231.6,305.7,332.5,1163.6
1925,100.2,134,50.4,93.4,118.1,14.2,73.4,86.1,102.5,111.1,64.8,109.1,386,261.9,173.7,278.4,1057.2
1926,137.2,93.2,58.9,69.1,74.5,78.1,79.7,86.3,78.2,113.8,163,50.9,339.5,202.5,244,355,1082.8
1927,124.2,74,91.9,81.4,50.3,106.6,96.3,132.1,152.8,108.5,116.1,63.9,249,223.6,335,377.3,1198
1928,197.8,101.9,94.4,47.3,40.1,110,69.8,110.5,59.3,157.6,145,104.8,363.6,181.8,290.3,361.8,1238.4
1929,48.7,37.4,16.3,40.1,69.1,61,79,107.5,45.7,148.2,185.5,209.2,190.9,125.5,247.5,379.4,1047.8
1930,148.4,24.9,70.1,66.4,59.5,53,102,140.5,111.8,136.3,140.9,113.2,382.5,196,295.5,389.1,1167.1
1931,106.4,99.6,28,86.8,95.1,111,116.1,98,64.8,63.4,154.7,82.2,319.1,209.9,325,282.8,1106
1932,135.4,9.6,70,99.7,107,35.5,109.6,57.9,108.6,167.8,87.6,98.5,227.2,276.7,203,364.1,1087.3
1933,95,104.1,72.8,53.6,54.1,61.4,77.6,58,47.1,116.3,57.3,33.5,297.6,180.5,197.1,220.7,830.8
1934,113.8,23.1,80.6,96,64.1,48.9,66,103.8,100.3,130.2,58,176.9,170.4,240.7,218.7,288.5,1061.8
1935,64.2,121,44,98.7,33.1,101.5,39,73.4,150.4,171.1,143.4,93.5,362.1,175.9,214,464.9,1133.4
1936,124.7,73.4,65.5,47.3,37.2,79.8,142.6,53.4,98.4,94.2,106.3,130.7,291.7,150,275.8,298.9,1053.6
1937,151.6,135.1,80.8,69.1,67.2,56.3,84.7,61.6,74.9,82.9,46.2,90.6,417.5,217.1,202.7,203.9,1001.2
1938,145.4,58.6,59.7,14.4,81.7,94.3,109,84,80,171.5,160.4,117.8,294.7,155.9,287.2,412,1176.9
1939,143.8,94.7,79.1,66.2,32.9,63.5,143.5,68.2,47.1,103.5,171.1,70.7,356.3,178.2,275.2,321.7,1084.3
1940,65.3,69.6,92.1,71.5,43.3,27.8,130.7,40,73.1,122.6,187.9,106.1,205.5,206.9,198.5,383.6,1030
1941,73.6,105.1,81.2,48.6,63.9,31,81.3,131.8,33,107.5,105.4,74.4,284.8,193.7,244.2,245.9,936.8
1942,122.1,45.4,66.6,49.6,95.5,31.6,90.3,108.8,102.8,126.5,45.3,135.4,241.8,211.7,230.7,274.5,1019.9
1943,146.7,83.2,44.5,65.7,90.7,77.5,66.1,115.7,98.2,127.2,87.4,64.2,365.3,200.9,259.2,312.8,1067
1944,116.5,52.5,28.5,64.2,61,82.8,73.5,81.3,116.4,132.1,162.6,105.2,233.3,153.7,237.6,411.1,1076.6
1945,97,110.6,55.2,51.1,94.5,95.1,77.7,70.9,92.5,115.4,22.3,115.3,312.7,200.9,243.6,230.2,997.5
1946,113.1,97.1,50.5,49.4,59.1,94.3,100.4,131.9,146.4,31.4,161.4,112.1,325.4,159,326.6,339.3,1147.2
1947,98.6,43.5,138.8,117.6,70.4,80.1,82.3,9.9,86.1,40.2,124.4,81.9,254.2,326.9,172.2,250.7,973.8
1948,177.5,76.3,64.3,67.6,65.4,106.6,68,136.7,107.9,106.7,77.2,138.8,335.6,197.3,311.4,291.8,1193.1
1949,89.8,77.4,56.6,91.2,67.5,27.8,57.4,84,57.8,153.7,124.2,143.7,306,215.2,169.2,335.6,1030.9
1950,65.5,137.4,62.3,95,49.6,62.1,114.2,132.2,178.5,78.3,136,77,346.6,206.9,308.5,392.8,1188
1951,112.6,108.6,104.5,87.4,64.8,44.4,72,134,86.1,40.5,191.7,138.9,298.2,256.7,250.4,318.3,1185.5
1952,105.5,41,81,60,65.4,69.9,51.4,114.3,91.3,120.5,93.3,107.5,285.4,206.4,235.6,305.1,1001.2
1953,52.2,60.5,34.1,80.2,68.1,61.8,118,93.8,102.9,77.8,117.4,72.9,220.2,182.3,273.6,298.2,939.7
1954,85.8,92.4,84.7,28.9,93,94.2,96.7,117.3,118.9,166.8,180.6,138.5,251.1,206.6,308.2,466.3,1297.8
1955,85.7,73,52.3,49.3,97.8,82.1,29.3,30.7,79.4,95,64,143.6,297.2,199.4,142.1,238.4,882.2
1956,117.5,41.5,44.9,45.8,44.5,76,119.7,158.5,102.3,80,57.4,137.1,302.7,135.3,354.3,239.8,1025.5
1957,118.1,97.2,89.9,27.5,51.4,56.9,120.9,121.9,119.9,103,65.3,117.3,352.5,168.8,299.7,288.2,1089.4
1958,112.4,114.4,50.6,43.5,93.8,98.9,103.5,108,117.2,101.4,54.2,117,344.2,187.9,310.4,272.8,1114.9
1959,100.7,26.2,74.6,90.9,33.3,62,91.8,44.6,23.3,117.6,143.8,177.9,243.9,198.8,198.4,284.6,986.7
1960,123.4,98.1,50.4,72.2,48.4,60.7,111.6,116.4,100.8,147.5,149.1,125.9,399.4,171.1,288.6,397.3,1204.3
1961,118.1,95.3,43.3,99.8,47,52.3,84.8,109,104.1,145,80.8,102.5,339.3,190.1,246.1,329.9,1082
1962,151.4,71.6,50.9,71.7,74.3,42.8,64.8,142.8,123,54.4,78.6,104.6,325.5,196.9,250.4,256,1030.9
1963,32.6,34.3,120.6,82.5,76.9,87.5,64,113.4,88.8,92,168.6,39.7,171.5,280,264.9,349.4,1000.9
1964,43.7,38,80.9,77.9,75,77.7,68.8,87.4,74.5,79.7,86.7,128.4,121.3,233.8,233.9,240.8,918.6
1965,122.7,24.6,76.6,80.8,70.8,89.6,101.5,89.9,141.7,70.8,106.5,163.2,275.7,228.2,281.1,319,1138.8
1966,64.9,126.1,75.4,91.3,86.4,104.8,73.1,100.3,74.9,124.9,106.8,159,354.1,253.1,278.1,306.7,1187.8
1967,83.5,109.1,106.6,56.2,131.7,50.8,78.9,83.8,116.5,196.8,92.9,97.5,351.5,294.5,213.5,406.2,1204.2
1968,104.4,53.7,92.8,67.3,84.2,79.2,98,67.8,135.4,132.2,75.8,81.2,255.6,244.3,244.9,343.4,1071.9
1969,111.6,72.2,59.6,64.4,108.4,67.1,70.6,76.9,70.1,59.1,144.2,98.2,265,232.5,214.6,273.3,1002.4
1970,108.6,107.2,78,92.8,41.7,53.6,98.5,94.7,97.1,111.1,174.1,63,314,212.6,246.8,382.3,1120.5
1971,113.3,59.1,75.8,54.8,57.9,89.1,57.4,106.4,37,102.7,113.5,68.5,235.4,188.5,252.9,253.1,935.3
1972,116.7,81.4,77.8,89,89.5,92.5,57.9,52.9,36.2,48.1,126.2,118.3,266.5,256.3,203.3,210.5,986.4
1973,69.7,68.9,42.7,72.2,85.6,68.3,86.5,83,86.6,62.1,96.7,106.4,256.9,200.5,237.7,245.4,928.8
1974,172.3,112.2,53.1,14.6,55.4,64.8,87.8,93,145.1,95.2,148.1,139.1,390.9,123.1,245.6,388.4,1180.7
1975,168.5,36.5,70.5,80.7,41.8,35.7,80.1,61.7,128.7,53.5,95.8,67.9,344,193,177.5,278,921.4
1976,111.4,61.9,77.4,35.8,84.5,38.6,44.4,24.2,141.6,163.4,98.4,92.6,241.1,197.6,107.3,403.4,974.1
1977,103.3,132.4,94.4,80.4,56.1,77.1,38.9,97,80.7,107,142.4,93.7,328.3,230.9,213.1,330,1103.5
1978,126.8,84.9,114.4,47.9,38.7,62,84.9,77.1,102.3,52.4,113.6,157.3,305.4,200.9,224,268.3,1062.2
1979,94.4,53.6,143.9,75.8,107.3,51,57.3,107.2,73.3,101.4,136,170.2,305.3,327,215.5,310.8,1171.5
1980,90.8,93.8,102.6,18.4,28.4,125.4,84.3,103.6,109.2,148.4,119.5,130.7,354.7,149.3,313.4,377.2,1155.1
1981,97.8,69.6,153.9,49.1,89.4,66.7,66.5,45.9,172.4,157.2,125.7,87.5,298.1,292.4,179.1,455.3,1181.7
1982,102.1,73.1,120.4,30.9,60.7,99,39.7,110.3,119.7,141,161.4,140.8,262.7,212,249,422.1,1199.1
1983,149.9,46.7,98.8,89.9,105.5,51,38.3,38.6,123.1,140.7,51.1,151.4,337.3,294.2,127.9,314.9,1085
1984,170.2,77.5,73.9,28.3,45.5,51.8,36.7,56.5,131.5,137.3,171.3,109.7,399,147.7,145,440,1090.1
1985,76.4,35.2,77.3,84.7,68.8,90.5,105.7,158.3,100.2,59.3,98.8,147.2,221.3,230.8,354.5,258.2,1102.2
1986,146.4,17.3,110.7,84.8,118.4,49.3,66.6,120.5,35.4,118.1,158,188,310.8,313.9,236.4,311.5,1213.4
1987,45.1,68.6,112.4,64.9,55,103.4,85.5,87.1,93.7,164.1,91.2,89.8,301.7,232.2,276,349,1060.8
1988,169.9,90.3,126.6,52.8,58.5,37,150.5,117,93.1,118.6,65.2,81.2,350,237.9,304.6,277,1160.9
1989,97.3,137.8,124.5,79.2,32,62.8,42,102.6,58.9,128.5,60.4,119,316.3,235.6,207.4,247.9,1045
1990,169.9,193.3,94.7,60.2,35.6,93.8,49.4,72.8,82.2,142.6,79,130.4,482.2,190.5,216,303.8,1203.7
1991,111.4,70.4,94.1,90.8,22.6,103.5,76.5,43.3,84,107.2,138.3,82.6,312.2,207.6,223.2,329.5,1024.7
1992,78.8,89.6,127.9,91,58.9,39.2,86.7,162.9,118.2,95.9,161.3,107,251,277.9,288.7,375.4,1217.4
1993,175.5,33.3,58.8,102.6,98.7,68.4,94.5,62.1,99.7,94,73.5,188.8,315.8,260.1,224.9,267.1,1149.7
1994,154.1,88.6,146.3,94.5,49.6,62.8,54.3,82.7,103.1,98.4,108,174.2,431.4,290.4,199.8,309.4,1216.5
1995,181,143,94.1,40.7,59.7,29.7,57.9,18.4,135.5,117.3,99.8,73.4,498.2,194.5,105.9,352.5,1050.3
1996,74.7,101.8,48.7,73,65.6,42.3,55.2,78.5,44.3,136.6,147.7,66.9,249.9,187.3,175.9,328.5,935.2
1997,28.9,168.3,66.9,43.1,87.3,115.9,63.9,83.8,61.7,72.4,123.2,133.1,264.2,197.3,263.7,257.3,1048.7
1998,134.1,81.9,105.2,121.1,41.3,121.8,93,78.9,92.6,187.7,118.4,122.5,349.1,267.6,293.6,398.7,1298.4
1999,164.9,83.2,88.7,88.6,75.9,93.8,46.1,91.9,140.2,93.4,109.6,195.5,370.6,253.2,231.8,343.2,1271.8
2000,101.9,131.6,67.7,123.8,77.6,58.3,59.7,85.3,133.8,199.6,176.4,156.7,429,269.1,203.4,509.8,1372.5
2001,78.9,96.9,85.6,89.6,43.3,58,81.6,96.8,88.9,165.1,94.9,69.8,332.5,218.4,236.4,348.9,1049.3
2002,134.3,175.2,75.5,68,101.6,86.7,98.4,73.8,40.6,153.8,163.1,109.2,379.4,245.1,258.9,357.5,1280.3
2003,114,48.4,53.6,50.4,98.1,71.2,78.3,26.7,53.8,63.9,120.2,121.7,271.6,202.1,176.1,237.9,900.1
2004,151.1,74.3,70.1,93.1,51.1,84.7,70.4,159.7,103,165.3,75.2,110.8,347,214.3,314.9,343.5,1208.9
2005,126.5,69.8,72.9,91,72.6,71.6,59.4,85.4,92,141.6,116.1,80.5,307.2,236.5,216.5,349.7,1079.6
2006,59.3,65,110.5,67.4,112.6,42.1,53.1,92,102.4,142.7,153.2,172.8,204.9,290.5,187.2,398.3,1173.2
2007,152.9,110.1,88.2,26.6,114.2,136.2,134.7,85.8,66.9,64.5,101.3,114.3,435.8,229,356.8,232.7,1195.7
2008,189.3,81.8,122.5,76.1,47.8,78.7,108.2,134.7,105.8,154.8,105.9,87.5,385.3,246.5,321.7,366.5,1293.2
2009,119.3,59.8,79,60,81.7,61.7,145.5,114.7,63.8,107.4,215,100.2,266.6,220.7,321.9,386.2,1208.1
2010,79.4,74.5,78.6,47.5,38.9,38.4,107,97.5,113.3,100.5,122.7,47.1,254.1,165.1,242.8,336.5,945.4
2011,102.2,113.8,49.4,35.7,100.7,84.7,75.7,105.4,107.4,122,99,166.6,263.1,185.9,265.8,328.4,1162.6
2012,110.1,59.4,36.7,128.2,65.6,149,118.4,111.3,111.8,125.6,135.1,178.3,336.1,230.5,378.7,372.5,1329.6
2013,109.7,59.6,64.4,62.9,91.8,48.5,65.2,72.2,71,162.6,90.4,185.5,347.7,219.2,185.9,324.1,1084
2014,187,167.8,79.8,67.5,99.4,54.5,64.3,137.9,22.5,157.4,123.3,131.4,540.3,246.7,256.7,303.2,1292.8
2015,153.5,79.9,94.9,45.5,109.9,56.2,107.6,104.7,52.1,72.1,172,216.9,364.8,250.2,268.6,296.2,1265.3
2016,178.7,110.1,83.8,77.3,61.4,96.1,78.5,85.1,96.3,47,104.9,77.3,505.7,222.5,259.7,248.2,1096.5
2017,76,93.4,97.7,33.2,57.2,110.4,101.3,102.3,117.2,101.4,107.7,120.6,246.6,188.1,314.1,326.3,1118.4
2018,132.4,68.6,103.9,83.9,47.7,34.7,54.2,83,101.4,104.2,121.7,117.7,321.6,235.5,171.9,327.3,1053.5
2019,64.6,71.1,128.9,48.6,63.6,109,89.1,132.6,126.1,139.8,119.1,139.6,253.3,241.1,330.7,385,1232.2
2020,121.3,213.7,78.5,30,32.8,107.6,96,122.2,77.4,182.7,104.9,167,474.5,141.3,325.8,365,1334.1
2021,139.6,105.4,87,20.5,121,44.7,74.5,66.6,82.3,167.8,80.6,114.2,412,228.5,185.8,330.8,1104.4
2022,62.9,151.3,50.7,49.8,77.5,61.8,48.4,51.9,105.2,147.5,167.2,116,328.4,178,162.1,420,1090.4
2023,125.7,43.4,132,69.8,39.1,52.2,140.1,89.1,119.4,,,,285.2,240.9,281.5,,
